symbol,close,avg_vol_30d,sessions,kind,dollar_vol
APYX,3.049999952316284,134403.33333333334,30,stock,409930.1602578164
AQB,1.149999976158142,990333.3333333334,30,stock,1138883.3097219467
AQMS,3.0,31510.0,30,stock,94530.0
AQN,5.670000076293945,3610093.3333333335,30,stock,20469229.475428265
AQST,5.340000152587891,3299243.3333333335,30,stock,17617959.903424583
AR,39.40999984741211,3931166.6666666665,30,stock,154927277.7334849
ARAI,0.23899999260902405,538983.3333333334,30,stock,128817.01268305382
ARAY,0.27000001072883606,1091883.3333333333,30,stock,294808.5117146373
ARBB,4.409999847412109,8756.666666666666,30,stock,38616.8986638387
ARBE,0.6359999775886536,984293.3333333334,30,stock,626010.5379406612
ARCB,141.1199951171875,332070.0,30,stock,46861716.77856445
ARCC,20.040000915527344,4150116.6666666665,30,stock,83168341.79954529
ARCI,10.100000381469727,30093.333333333332,30,stock,303942.6781463623
ARCL,10.010000228881836,14263.333333333334,30,stock,142775.9699312846
ARCO,8.170000076293945,1076086.6666666667,30,stock,8791628.148765564
ARCT,15.819999694824219,1187713.3333333333,30,stock,18789624.570871986
ARDC,12.300000190734863,87116.66666666667,30,stock,1071535.0166161857
ARDT,10.90999984741211,416483.3333333333,30,stock,4543833.103116353
ARDX,3.7799999713897705,4492373.333333333,30,stock,16981171.071472168
ARE,52.650001525878906,2058846.6666666667,30,stock,108398280.1415507
AREC,2.430000066757202,2187300.0,30,stock,5315139.146018028
ARES,140.14999389648438,2254326.6666666665,30,stock,315943868.57401526
ARHS,8.729999542236328,1444256.6666666667,30,stock,12608360.038871765
ARI,6.880000114440918,3016376.6666666665,30,stock,20752671.81186358
ARIS,20.049999237060547,1554136.6666666667,30,stock,31160438.98095449
ARKO,4.889999866485596,1092326.6666666667,30,stock,5341477.254158656
ARKR,5.320000171661377,7203.333333333333,30,stock,38321.73456986745
ARL,15.600000381469727,7456.666666666667,30,stock,116324.0028444926
ARLO,13.970000267028809,1343670.0,30,stock,18771070.2587986
ARMK,56.779998779296875,2488570.0,30,stock,141301001.56219482
